COMMUNITY,TYPE,LATITUDE,LONGITUDE,HA_CODE,HA_ID,HA_NAME,HSDA_CODE,HSDA_ID,HSDA_NAME,LHA_CODE,LHA_ID,LHA_NAME,LHA18_CODE,LHA18_ID,LHA18_NAME
BESTWICK,COM,50.5667,-120.0833,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA24,24,Kamloops,LHA143,143,Kamloops
BEVAN,LOC,49.6667,-125.0833,HA4,4,Vancouver Island,HSDA43,43,North Vancouver Island,LHA71,71,Courtenay,LHA431,431,Comox Valley
BIG BAR CREEK,COM,51.1833,-122.1333,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA30,30,South Cariboo,LHA148,148,South Cariboo
BIG BAY,LOC,50.4,-125.1333,HA4,4,Vancouver Island,HSDA43,43,North Vancouver Island,LHA72,72,Campbell River,LHA432,432,Greater Campbell River
BIG CREEK,LOC,51.7167,-123.0333,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA27,27,Cariboo-Chilcotin,LHA146,146,Cariboo/Chilcotin
BIG EDDY,COM,51,-118.2167,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA19,19,Revelstoke,LHA141,141,Revelstoke
BIG LAKE RANCH,LOC,52.4167,-121.85,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA27,27,Cariboo-Chilcotin,LHA146,146,Cariboo/Chilcotin
BIG WHITE,REC,49.7206,-118.9283,HA1,1,Interior,HSDA12,12,Kootenay Boundary,LHA13,13,Kettle Valley,LHA127,127,Kettle Valley
BIRCH ISLAND,COM,51.6,-119.9167,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA26,26,North Thompson,LHA145,145,North Thompson
BIRCHLAND MANOR,NEI,49.2667,-122.75,HA2,2,Fraser,HSDA22,22,Fraser North,LHA43,43,Coquitlam,LHA224,224,Tri-Cities
BIRKEN,LOC,50.4833,-122.6167,HA3,3,Vancouver Coastal,HSDA33,33,North Shore/Coast Garibaldi,LHA48,48,Howe Sound,LHA335,335,Howe Sound
BLACK CREEK,COM,49.8333,-125.1333,HA4,4,Vancouver Island,HSDA43,43,North Vancouver Island,LHA71,71,Courtenay,LHA431,431,Comox Valley
BLACK PINES,COM,50.9333,-120.25,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA24,24,Kamloops,LHA143,143,Kamloops
BLACK POINT,IR,54.9833,-129.6833,HA5,5,Northern,HSDA51,51,Northwest,LHA92,92,Nisga'a,LHA518,518,Nisga'a
BLACKPOOL,COM,51.5833,-120.1167,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA26,26,North Thompson,LHA145,145,North Thompson
BLACKWATER,LOC,53.2833,-123.1333,HA5,5,Northern,HSDA52,52,Northern Interior,LHA28,28,Quesnel,LHA521,521,Quesnel
BLAEBERRY,COM,51.4333,-117.0667,HA1,1,Interior,HSDA11,11,East Kootenay,LHA18,18,Golden,LHA116,116,Golden
BLAKEBURN,ABL,49.4819,-120.7347,HA1,1,Interior,HSDA13,13,Okanagan,LHA17,17,Princeton,LHA134,134,Princeton
BLEWETT,COM,49.4833,-117.4167,HA1,1,Interior,HSDA12,12,Kootenay Boundary,LHA7,7,Nelson,LHA122,122,Nelson
BLIND BAY,COM,50.8833,-119.3833,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA20,20,Salmon Arm,LHA142,142,Salmon Arm
BLIND CHANNEL,COM,50.4167,-125.5,HA4,4,Vancouver Island,HSDA43,43,North Vancouver Island,LHA72,72,Campbell River,LHA432,432,Greater Campbell River
BLISS LANDING,LOC,50.0333,-124.8167,HA3,3,Vancouver Coastal,HSDA33,33,North Shore/Coast Garibaldi,LHA47,47,Powell River,LHA334,334,Powell River
BLOEDEL,LOC,50.1167,-125.3833,HA4,4,Vancouver Island,HSDA43,43,North Vancouver Island,LHA72,72,Campbell River,LHA432,432,Greater Campbell River
BLUBBER BAY,COM,49.7833,-124.6167,HA3,3,Vancouver Coastal,HSDA33,33,North Shore/Coast Garibaldi,LHA47,47,Powell River,LHA334,334,Powell River
BLUCHER HALL,COM,51.1,-120.0167,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA24,24,Kamloops,LHA143,143,Kamloops
BLUE RIVER,COM,52.1,-119.3,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA26,26,North Thompson,LHA145,145,North Thompson
BLUEBERRY CREEK,COM,49.25,-117.6667,HA1,1,Interior,HSDA12,12,Kootenay Boundary,LHA9,9,Castlegar,LHA123,123,Castlegar
BLUERIDGE,NEI,49.3292,-122.9917,HA3,3,Vancouver Coastal,HSDA33,33,North Shore/Coast Garibaldi,LHA44,44,North Vancouver,LHA331,331,North Vancouver
BOAT BASIN,LOC,49.4792,-126.425,HA4,4,Vancouver Island,HSDA42,42,Central Vancouver Island,LHA70,70,Alberni,LHA426,426,Alberni/Clayoquot
BOB QUINN LAKE,LOC,56.9722,-130.2472,HA5,5,Northern,HSDA51,51,Northwest,LHA51,51,Snow Country,LHA511,511,Snow Country
BONAPARTE,IR,50.85,-121.3667,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA30,30,South Cariboo,LHA148,148,South Cariboo
BONNET HILL,COM,53.9,-122.6167,HA5,5,Northern,HSDA52,52,Northern Interior,LHA57,57,Prince George,LHA524,524,Prince George
BONNINGTON FALLS,COM,49.4667,-117.4833,HA1,1,Interior,HSDA12,12,Kootenay Boundary,LHA7,7,Nelson,LHA122,122,Nelson
BOSTON BAR,COM,49.8667,-121.4333,HA2,2,Fraser,HSDA21,21,Fraser East,LHA32,32,Hope,LHA211,211,Hope
BOSWELL,COM,49.45,-116.7667,HA1,1,Interior,HSDA11,11,East Kootenay,LHA5,5,Creston,LHA115,115,Creston
BOUCHIE LAKE,COM,53.0167,-122.6,HA5,5,Northern,HSDA52,52,Northern Interior,LHA28,28,Quesnel,LHA521,521,Quesnel
BOUNDARY BAY,COM,49.005,-123.0383,HA2,2,Fraser,HSDA23,23,Fraser South,LHA37,37,Delta,LHA232,232,Delta
BOWEN ISLAND,DM,49.3833,-123.3333,HA3,3,Vancouver Coastal,HSDA33,33,North Shore/Coast Garibaldi,LHA45,45,West Vancouver-Bowen Island,LHA332,332,West Vancouver/Bowen Island
BOWSER,COM,49.4333,-124.6667,HA4,4,Vancouver Island,HSDA42,42,Central Vancouver Island,LHA69,69,Qualicum,LHA425,425,Oceanside
BRACKENDALE,COM,49.7667,-123.15,HA3,3,Vancouver Coastal,HSDA33,33,North Shore/Coast Garibaldi,LHA48,48,Howe Sound,LHA335,335,Howe Sound
BRADNER,COM,49.1,-122.4167,HA2,2,Fraser,HSDA21,21,Fraser East,LHA34,34,Abbotsford,LHA213,213,Abbotsford
BRAEMAR HEIGHTS,NEI,48.4167,-123.5,HA4,4,Vancouver Island,HSDA41,41,South Vancouver Island,LHA62,62,Sooke,LHA412,412,Western Communities
BRAESIDE,COM,54.0833,-124.25,HA5,5,Northern,HSDA52,52,Northern Interior,LHA56,56,Nechako,LHA523,523,Nechako
BRALORNE,LOC,50.7667,-122.8167,HA1,1,Interior,HSDA14,14,Thompson Cariboo Shuswap,LHA29,29,Lillooet,LHA147,147,Lillooet
BRANDON,COM,49.75,-117.45,HA1,1,Interior,HSDA12,12,Kootenay Boundary,LHA7,7,Nelson,LHA122,122,Nelson
BREM RIVER,SET,50.4333,-124.6667,HA4,4,Vancouver Island,HSDA43,43,North Vancouver Island,LHA72,72,Campbell River,LHA432,432,Greater Campbell River
BRENTWOOD BAY,COM,48.5833,-123.4667,HA4,4,Vancouver Island,HSDA41,41,South Vancouver Island,LHA63,63,Saanich,LHA413,413,Saanich Peninsula
BRENTWOOD PARK,NEI,49.275,-122.9917,HA2,2,Fraser,HSDA22,22,Fraser North,LHA41,41,Burnaby,LHA222,222,Burnaby
BREW BAY,COM,49.7667,-124.3833,HA3,3,Vancouver Coastal,HSDA33,33,North Shore/Coast Garibaldi,LHA47,47,Powell River,LHA334,334,Powell River
BRIDAL FALLS,COM,49.1833,-121.7333,HA2,2,Fraser,HSDA21,21,Fraser East,LHA33,33,Chilliwack,LHA212,212,Chilliwack
